,mask_loss,mask_accuracy,label_loss,label_accuracy,intensity_loss,intensity_accuracy
0,0.2090632058803657,0.9146418727899752,1.7297510700108756,0.31716417910447764,0.5145504419910014,0.7511608623548922
1,0.11829525738578801,0.9378651251995413,1.5400456866841483,0.39286898839137646,0.4161386689975828,0.810530679933665
2,0.10239356732479214,0.9423418724940325,1.4175331102907855,0.44660033167495855,0.38573685880718284,0.8240464344941957
3,0.09470572638527479,0.9456091647363294,1.2260588550694194,0.5361525704809287,0.35919204180134434,0.8431177446102819
4,0.08817740770547534,0.9490647878406375,1.0174895274813158,0.6193200663349917,0.3241880876361315,0.858457711442786
5,0.08216886608981896,0.9525225469824014,0.8407239717318273,0.689469320066335,0.3045020958021847,0.8712271973466004
6,0.07682120084129744,0.9556887613754045,0.6352641232974219,0.7692371475953566,0.2755078073750437,0.8834162520729685
7,0.07169923571932767,0.9587423736557078,0.5126961925003354,0.8127694859038143,0.24488840804589193,0.8944444444444445
8,0.06726850443671062,0.9613095635440703,0.43399080628925946,0.8432006633499171,0.21450829199455337,0.9092868988391376
9,0.06350578582278925,0.9635447014936487,0.3703536039067515,0.8644278606965174,0.18291658108547829,0.9224709784411277
10,0.060115372296113724,0.9655008126586656,0.32314176619356944,0.880514096185738,0.1517353048792984,0.9369817578772802
11,0.05731923353142033,0.9671677138208947,0.2889093936698458,0.897844112769486,0.11857592972139466,0.9532338308457712
12,0.05415640572640939,0.9689778640876168,0.23715540512239988,0.9139303482587064,0.08662208440283226,0.9660862354892206
13,0.05144141526434227,0.9705859590779098,0.20212796118092496,0.9248756218905473,0.05397892502022894,0.9796849087893864
14,0.049243384429612694,0.971859919922037,0.21287372313721345,0.9245439469320066,0.062382218813538406,0.9762023217247098
15,0.04674774143343029,0.9732899705779893,0.21919099955761456,0.9209784411276949,0.0758944482566773,0.9725538971807629
16,0.04515771143627863,0.9742313758695688,0.21047601289201284,0.9209784411276949,0.08874056236284782,0.9653399668325041
17,0.043526710147642506,0.9751838448432082,0.21357018892098942,0.921558872305141,0.09470096706677283,0.9633499170812604
18,0.04207715409911066,0.9760229391377733,0.19461821202800858,0.9301824212271973,0.08225648147662744,0.9666666666666667
19,0.040663356882258604,0.9768478060369865,0.16784402154632933,0.9390547263681592,0.07941316120696951,0.9701492537313433
20,0.03945767116135292,0.977544192771051,0.1464420486514348,0.9472636815920398,0.07180899398760938,0.972139303482587
21,0.0385037727441389,0.9781142236305217,0.1287114050991698,0.9541459369817579,0.06891673617515656,0.9737976782752902
22,0.03737285351547565,0.9787762001324902,0.11882708859898565,0.9558872305140962,0.05767200600163067,0.9771144278606965
23,0.03651195630065321,0.9792701433886735,0.09902451458646172,0.9630182421227197,0.046469731985084375,0.9832504145936982
24,0.035545941133252344,0.9798400748938856,0.08931878865528085,0.9679933665008292,0.05098505037142641,0.9801824212271973
25,0.034908368758357906,0.9802194485699174,0.09226224381969514,0.9660862354892206,0.046689415640676205,0.9834162520729685
26,0.033797626077693745,0.9808603102747937,0.0793493828234178,0.9717247097844113,0.04734371531530432,0.9816749585406301
27,0.033045583120939664,0.981300136824673,0.06932490949635133,0.9772802653399668,0.04020299045627754,0.9845771144278607
28,0.03238950929818916,0.9816956763719991,0.06752588631258491,0.9778606965174129,0.036522128941526774,0.9868159203980099
29,0.03170309263740696,0.9820911647392253,0.05962549188332103,0.9778606965174129,0.03213015260856199,0.9885572139303482
