,mask_loss,mask_accuracy,label_loss,label_accuracy,intensity_loss,intensity_accuracy
0,0.20161542412471456,0.9186103610315732,1.6685941178413115,0.33176567656765676,0.4988181997176641,0.7594884488448845
1,0.11274605454391379,0.9399752596423965,1.473867668216378,0.42293729372937294,0.4023681639247995,0.8129537953795379
2,0.09813561844747058,0.9438437350512338,1.3009429090487288,0.49067656765676565,0.37219412950399294,0.8287128712871287
3,0.09036689599355062,0.9471701295462378,1.1287132722808189,0.5636138613861386,0.34451429913982307,0.8431518151815182
4,0.08512231587576788,0.9498854807501186,0.9566028397173771,0.635973597359736,0.3093587814200141,0.8567656765676568
5,0.07969549976953186,0.9529564744175071,0.8196360506879614,0.68490099009901,0.29270065661777955,0.8712871287128713
6,0.07496894220314404,0.9557122334395305,0.677733636325342,0.745049504950495,0.26404783869893733,0.8834983498349835
7,0.0706652843125976,0.9582794516786883,0.5528395817089494,0.7942244224422442,0.2520698204959309,0.8882838283828383
8,0.06680612571955515,0.9605523798331963,0.4681423144679357,0.8269801980198019,0.2118936242397395,0.9109735973597359
9,0.06329188685212592,0.9626330727791236,0.38914003613352677,0.8530528052805281,0.18886875293114633,0.9173267326732674
10,0.06022300448748145,0.9644482990696092,0.351971592633945,0.866996699669967,0.16000616794264577,0.9320957095709571
11,0.0570830768484487,0.966294504903724,0.300566945669146,0.8861386138613861,0.13352861612952213,0.9432343234323433
12,0.054398371598901527,0.9678613569870247,0.2500255757200504,0.9066831683168317,0.09200537650265406,0.9621287128712871
13,0.051875373632600995,0.9693669376200181,0.20087780086108462,0.9255775577557755,0.05671316799342712,0.977970297029703
14,0.04970964547431115,0.9706533371025187,0.21239417294000365,0.921947194719472,0.05920841821053268,0.977970297029703
15,0.047487526758275805,0.9719499782760544,0.23645378228602779,0.911056105610561,0.07233148985912158,0.9688118811881188
16,0.04562702470093277,0.9730366543574696,0.24212318146155637,0.9086633663366337,0.08929899580941517,0.9636963696369637
17,0.043886932484781,0.9740593227616238,0.21094012308747448,0.9226072607260726,0.09182700343361269,0.9605610561056106
18,0.04274147146999246,0.9747418388281718,0.19500304482944106,0.9268976897689769,0.08799279670870463,0.9651815181518152
19,0.041435513205260725,0.9755190077001112,0.1891228931420406,0.9327557755775577,0.08085967191828687,0.9678217821782178
20,0.04011858615151333,0.9762731652448673,0.16884376198122902,0.9375412541254126,0.07828930224727433,0.969059405940594
21,0.03903217012732729,0.9769030833401696,0.13259913336776472,0.9535478547854785,0.06932174174399185,0.973019801980198
22,0.03790573582004006,0.9775222110669605,0.12730478357851024,0.9542904290429043,0.058812937696589275,0.9763201320132013
23,0.037128700911015174,0.9780239247646269,0.11249048510985525,0.9594059405940594,0.062339517721122124,0.9753300330033003
24,0.0361861243106351,0.9785877522462272,0.09387707197226935,0.968069306930693,0.05072282337669244,0.9817656765676568
25,0.03542307178572853,0.9790211045309262,0.09916302504239902,0.966006600660066,0.05057399257579397,0.9808580858085808
26,0.03455480714835743,0.9795688202278843,0.0772892070427669,0.972029702970297,0.046310828048416006,0.9829207920792079
27,0.033871047056154055,0.9799694854434174,0.07273381955983856,0.975907590759076,0.0417477581243443,0.9841584158415841
28,0.03311451221063192,0.9804014723293065,0.06642127767467197,0.9766501650165017,0.03876716452035586,0.9846534653465346
29,0.03233201149666663,0.9808496129001328,0.05474970497078583,0.9807755775577558,0.038426874032101786,0.9858085808580858
30,0.031939008330354596,0.9811061268592431,0.055046007073899464,0.981023102310231,0.031225767017620323,0.9886138613861386
31,0.03133009251194819,0.9814714575758074,0.056281850006114825,0.98003300330033,0.031085713931790736,0.9896039603960396
32,0.030875065578485874,0.9817296916895574,0.053511107202267844,0.983085808580858,0.030868590473329637,0.9891914191419142
33,0.03060027541893937,0.9819033393765441,0.06041857804049866,0.9804455445544554,0.030436698914250746,0.988943894389439
34,0.03009495762708557,0.9822073364808614,0.056065840406640734,0.982013201320132,0.03544935593291621,0.9868811881188119
