,mask_loss,mask_accuracy,label_loss,label_accuracy,intensity_loss,intensity_accuracy
0,0.2556796844151154,0.9179602432565721,1.749306559051224,0.30313531353135315,0.48809327318428375,0.7738448844884488
1,0.16783056385052872,0.9351824659718933,1.5586337620669073,0.3867161716171617,0.3848969157453221,0.8329207920792079
2,0.15245601189116834,0.9393146313456419,1.4101946325191963,0.4467821782178218,0.348139772475651,0.8507425742574257
3,0.14141670389734085,0.9430865317288012,1.235676264939922,0.5208745874587458,0.3265442076099194,0.8641089108910891
4,0.13082569598561467,0.9469892288198566,1.0143795918316731,0.6145214521452145,0.30869905765693967,0.8741749174917491
5,0.11912592277914384,0.9513462803938207,0.7315405504882533,0.73003300330033,0.2867103117699474,0.878960396039604
6,0.1091650322768161,0.955278203825746,0.5663336300958107,0.7887788778877888,0.25083767622340436,0.8938118811881188
7,0.10146047450085678,0.958297080057289,0.4552745687710767,0.8347359735973597,0.23581445834264406,0.8994224422442244
8,0.09476639787995382,0.9608893469615345,0.39305516099157706,0.8543729372937293,0.18920973657565837,0.9180693069306931
9,0.09007173441473407,0.9626694322419245,0.3385189839100877,0.8738448844884489,0.16502917924298052,0.9311881188118812
10,0.08568706480976772,0.9642953110606757,0.3103648970985521,0.8858910891089109,0.1443396826474866,0.939108910891089
11,0.08230989266543498,0.9658394352437639,0.26965642234544107,0.898102310231023,0.11710933447848519,0.9533828382838284
12,0.0795017067207755,0.9669718228157598,0.24786405214031684,0.9065181518151815,0.08891252701143079,0.9650165016501651
13,0.07573858634768539,0.9684296240901002,0.2325864429514941,0.9127062706270627,0.07221719583295653,0.9717821782178218
14,0.07266877908935838,0.9696378451762813,0.2204892839274366,0.9169141914191419,0.05298598994263302,0.9794554455445544
15,0.0696149295337326,0.9707775878040704,0.23053601719500502,0.9170792079207921,0.0560838596119379,0.9782178217821782
16,0.06742039707676806,0.9715267960781312,0.27750275913294,0.8979372937293729,0.07348216060946101,0.9708745874587459
17,0.06517849147270614,0.9725877041863923,0.249333619888835,0.9117986798679868,0.08259360540627547,0.967079207920792
18,0.06350673976978256,0.9733806210382543,0.25265520815299547,0.9092409240924092,0.08672494831630997,0.9655940594059406
19,0.0616647284564012,0.9739864025965775,0.26217076173958925,0.9075082508250825,0.10207890102864749,0.9615511551155116
20,0.059138853401683344,0.9749896935110438,0.19659189847075126,0.9287953795379538,0.07569632797026331,0.9706270627062706
21,0.0585772022973783,0.9753091332936051,0.22088824713636473,0.9212871287128713,0.08364166783292531,0.9669141914191419
22,0.05565199884693615,0.9764344660362395,0.17236546902654526,0.9356435643564357,0.0671973687813277,0.9731023102310231
23,0.05477448235889866,0.9767455520016132,0.19536094376932608,0.9303630363036304,0.09030874575594262,0.9645214521452146
24,0.05268928410343998,0.9776239286948352,0.14913261626638077,0.9472772277227722,0.060191115648823824,0.976897689768977
25,0.05114418204025467,0.9783021488205434,0.11561596302725063,0.9580858085808581,0.051883815376726844,0.9795379537953796
26,0.05226740781402234,0.9778518832949522,0.19549781297645324,0.9334983498349835,0.08553623757191721,0.9695544554455445
27,0.04932666983664429,0.9790694132496421,0.09242187410385272,0.9675742574257425,0.05270715901950896,0.9796204620462046
28,0.04765272455615769,0.9796918942983395,0.07801133033214559,0.9715346534653465,0.03262562368241312,0.9875412541254125
29,0.04764478751780963,0.9798246343537133,0.0804105648761251,0.9717821782178218,0.04328850907300123,0.9838283828382838
