,mask_loss,mask_accuracy,label_loss,label_accuracy,intensity_loss,intensity_accuracy
0,0.21904852592794802,0.9082083812041558,1.6953966383832768,0.3332504145936982,0.4824467988878825,0.7755389718076285
1,0.11749764926874962,0.9376063903357387,1.4962424762057562,0.4267827529021559,0.3691773561818875,0.8368988391376451
2,0.10374149935247096,0.9410498979555192,1.3443969904624948,0.48648424543946933,0.3269637961907148,0.8559701492537314
3,0.09757537733424794,0.9434632344125673,1.1802794465222894,0.5553067993366501,0.303142112816357,0.8703150912106136
4,0.09250769471995626,0.946127847321554,0.9794339284192036,0.6301824212271974,0.2738302886911236,0.881094527363184
5,0.08711972205782854,0.9491688915254584,0.8419819590898246,0.6813432835820895,0.2540307540969346,0.8911276948590381
6,0.0820187987597794,0.9522345219531753,0.7273980455093615,0.7247927031509122,0.22836499849851005,0.9034825870646767
7,0.07736218390910928,0.9550044072647322,0.594547956526853,0.7779436152570481,0.2072798264631291,0.9128524046434494
8,0.07375311871277392,0.9570965037966059,0.49953350610536656,0.8187396351575456,0.17305375778396856,0.9299336650082919
9,0.06953107361454954,0.9595847959619686,0.429083281978421,0.8388059701492537,0.1515531236552723,0.9368988391376452
10,0.06633685425408407,0.9615116103959542,0.38162739528250383,0.8545605306799336,0.13524919637271396,0.9432835820895522
11,0.06312015369860795,0.9633781450350077,0.34019399022865193,0.8698175787728026,0.10295806790855347,0.9582918739635158
12,0.06008226300361699,0.9651332035631079,0.3112091789016372,0.8801824212271974,0.08116910258523406,0.9692371475953565
13,0.057313506027365964,0.9667631611969586,0.27764330637890305,0.8951077943615257,0.06190728742521082,0.9766169154228855
14,0.054725779313161506,0.9682989225691332,0.23908889673345282,0.9095356550580431,0.04515492962249278,0.9817578772802653
15,0.05217833624189867,0.969806665447111,0.2444299536279536,0.9064676616915422,0.036797719370896584,0.986318407960199
16,0.05002445540209836,0.9710760103129518,0.23960430763577506,0.9106965174129353,0.05161353784277555,0.9814262023217247
17,0.04830138285427435,0.9720375544991648,0.2554620176627268,0.9069651741293532,0.0593166479266919,0.9769485903814262
18,0.046375112693358825,0.9732161910231729,0.22836045690011245,0.9140132669983416,0.06178996725232669,0.976285240464345
19,0.04495194449516504,0.9740484174546139,0.19885160484955003,0.9253731343283582,0.06311413836661807,0.9745439469320066
20,0.04362103087900487,0.9748267513596623,0.17990866924309531,0.9346600331674959,0.0664779355793373,0.9733830845771144
21,0.042395949521915915,0.9755727276552095,0.15645363800773487,0.9423714759535655,0.053650024957036815,0.9792703150912107
22,0.04122000560906049,0.9762381684645645,0.13339807976212004,0.951077943615257,0.04940419914564718,0.9817578772802653
23,0.04033606959718224,0.976771923984687,0.1269891929606125,0.9559701492537314,0.04500815279354927,0.9832504145936982
24,0.039262928983274485,0.9774184227385264,0.11683785432911656,0.9593698175787728,0.03862442565143286,0.9864842454394693
25,0.03811703827022003,0.978090387349423,0.09295664722808791,0.966832504145937,0.04443245536660754,0.9848258706467662
26,0.03749801666434427,0.9784509250875649,0.08698309413451726,0.9691542288557214,0.04161147615286843,0.9841625207296849
27,0.03659277185352733,0.9789807949939467,0.08210872690110135,0.9713101160862355,0.03419783810634373,0.9880597014925373
28,0.03582657024254448,0.9794411766821767,0.06797198440947577,0.9760364842454394,0.03508445173990853,0.9866500829187397
29,0.034851331859530404,0.9800133073891562,0.060951812459980284,0.980016583747927,0.02689106580018493,0.9900497512437811
